COM CODE,NUMBER,time
21131,1106 GS F212,M W F 4
21169,1111 GS F231,T TH S 2
21171,1113 GS F233,T TH S 5
21172,1114 GS F234,T TH S 5
21165,1110 GS F245,M W F 5
21173,1115 GS F311,T TH S 3
21174,1116 GS F312,T TH S 5
21137,1107 GS F322,M W F 9
21524,1188 GS F326,T TH S 5
21176,1117 GS F332,M W F 7
21602,1204 HSS F221,M W F 5
21152,1109 HSS F227,M W F 9
21621,1734 HSS F233,T TH S 2
21622,1735 HSS F234,T TH S 5
21627,1210 HSS F235,M W F 5
21628,1211 HSS F236,M W F 7
21903,3745 HSS F237,M W F 8
21588,1202 HSS F314,M W F 4
21645,1213 HSS F317,T TH S 2
21605,1205 HSS F336,M W F 4
21623,1209 HSS F343,M W F 5
21830,1276 HSS F347,M W F 5
21828,1275 HSS F349,T TH S 3
22270,1307 HSS F363,M W F 7
22290,3748 HSS F369,T TH S 2
22295,3773 HSS G511,M W F 2
22296,3774 HSS G512,M W F 9
21096,1083 INSTR F211,M W F 4
21096,1742 INSTR F211,F 1
21096,1464 INSTR F211,M W F 4
21096,1743 INSTR F211,F 1
21096,1465 INSTR F211,T TH S 3
21096,1744 INSTR F211,F 1
21096,3763 INSTR F211,T TH S 3
21096,3764 INSTR F211,F 1
21096,1466 INSTR F211,T 7 8 9
21096,1467 INSTR F211,W 3 4 5
21096,1468 INSTR F211,TH 3 4 5
21096,1469 INSTR F211,TH 7 8 9
21096,1470 INSTR F211,F 7 8 9
21097,1084 INSTR F212,M W 5
21097,1691 INSTR F212,F 5 S 1
21097,1471 INSTR F212,M W 5
21097,1692 INSTR F212,F 5 S 7
21097,1472 INSTR F212,M W 5
21097,1693 INSTR F212,F 5 S 1
21097,1473 INSTR F212,M W 5
21097,1694 INSTR F212,F 5 S 1
21097,1474 INSTR F212,T TH 5
21097,1695 INSTR F212,S 5 M 1
21097,1475 INSTR F212,T TH 5
21097,1696 INSTR F212,S 5 M 1
21097,1476 INSTR F212,T TH 5
21097,1697 INSTR F212,S 5 M 1
21097,1477 INSTR F212,T TH 5
21097,1698 INSTR F212,S 5 M 1
21099,1490 INSTR F214,M W F 3
21099,1699 INSTR F214,T 1
21099,1086 INSTR F214,T TH S 4
21099,1700 INSTR F214,T 1
21098,1085 INSTR F215,M W F 2
21098,1478 INSTR F215,M W F 2
21098,1486 INSTR F215,TH 1
21098,1487 INSTR F215,TH 1
21098,1488 INSTR F215,TH 1
